,canon_smiles,good
930,CC(C)[C@H]1CC[C@H](C(=O)N[C@H](Cc2ccccc2)C(=O)O)CC1,0
493,COc1ccccc1OCC(O)CO,0
1269,CCNCC.O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,0
277,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O.Cl,0
1782,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,0
358,CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cn4c(n3)sc3cc(OCCN5CCOCC5)ccc34)cc2)no1,0
1716,COc1cc2ncnc(Sc3nnc(C)s3)c2cc1OC,0
236,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@]3(F)[C@H](O)C[C@]2(C)[C@]1(O)C(=O)CO,0
551,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1.Cl,0
1802,Cc1ccc(Cl)cc1N(CC(=O)Nc1c(F)cccc1F)S(C)(=O)=O,0
1594,CC(C)(C)n1nc(-c2ccc(Cl)cc2)c2c(N)ncnc21,0
208,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4ccc(Cl)cc4)cc23)c1F,0
1335,CCC1(c2cccc(O)c2)CCCCN(C)C1.Cl,0
1507,OC[C@@H]1O[C@H](O[C@]2(CCl)O[C@H](CCl)[C@@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1Cl,0
58,CS(=O)c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,0
1531,O=C1O[C@H]([C@@H](O)CO)C(O)C1O.[Na],0
1794,CCCCCCCCCCCCCCCCn1cc[n+](Cc2ccccc2)c1C.[I-],0
1524,Cl.Nc1ccc(/N=N/c2ccccc2)c(N)n1,0
363,NC(=O)Nc1cc(-c2cccc(F)c2)sc1C(=O)N[C@H]1CCCNC1,0
1018,Br.COC(=O)C1=CCCN(C)C1,0
1852,CC(C)N(CCC(=O)c1ccc2ccccc2c1)Cc1ccccc1.Cl,0
1080,C[C@H](NC(=O)[C@@H](O)c1cc(F)cc(F)c1)C(=O)N[C@@H]1C(=O)N(C)c2ccccc2-c2ccccc21,0
1549,CC(CNC(=O)c1cccnc1)NC(=O)c1cccnc1,0
1173,COc1ccc(NS(=O)(=O)c2sc3ccc(Cl)cc3c2C)cc1N1CCNCC1,0
780,COc1c(O)cc2c(c1O)[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1OC2=O,0
905,Cl.NC(CO)C(=O)NNCc1ccc(O)c(O)c1O,0
757,COc1ccc(COc2cc3oc(=O)c4cc(C(C)O)ccc4c3cc2OC)cc1,0
118,CS(=O)(=O)O.O=C(Nc1cccc(Cl)c1)Nc1ncc(CCNc2ncnc3ccsc23)s1,0
1204,CC(C)c1nc(CN(C)C(=O)N[C@@H](CCN2CCOCC2)C(=O)N[C@H](CC[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)Cc2ccccc2)cs1,0
1114,CC(O)C(=O)O.CC(O)C(=O)O.CN1CCN(c2ccc3nc(-c4c(N)c5c(F)cccc5[nH]c4=O)[nH]c3c2)CC1,0
522,CN/C(=C\[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1.Cl,0
513,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1C(F)(F)F,0
81,OCCn1cc(-c2ccc3c(c2)CC/C3=N/O)c(-c2ccncc2)n1,0
1376,Cc1cc(-n2c(=O)[nH]c(=O)n(C)c2=O)ccc1Oc1ccc(SC(F)(F)F)cc1,0
938,CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)O,0
380,Clc1ccc(C2(c3ccc(-c4cn[nH]c4)cc3)CCNCC2)cc1,0
1692,CS(=O)(=O)O.Cn1cc(C2=C(c3cn(CCCSC(=N)N)c4ccccc34)C(=O)NC2=O)c2ccccc21,0
84,CO[C@@H](C(=O)N1Cc2[nH]nc(NC(=O)c3ccc(N4CCN(C)CC4)cc3)c2C1)c1ccccc1,0
1621,CN[C@H](CC(=O)O)C(=O)O,0
329,Cc1cccc(-c2nc(C(C)(C)C)[nH]c2-c2ccc3nccnc3c2)n1,0
6,Cc1nc(C(=O)NCC(=O)O)c(O)c2ccc(Oc3ccccc3)cc12,0
973,C[N+]1(C)[C@@H]2C[C@@H](OC(=O)C(O)(c3cccs3)c3cccs3)C[C@H]1[C@@H]1O[C@@H]12.O.[Br-],0
1407,CO[C@H]1[C@@H](O[C@H]2O[C@@H](C)[C@H](O[C@@H]3C[C@](C)(O)[C@H](O)[C@@H](C)O3)[C@@H](N(C)C)[C@@H]2O)[C@@H](CC=O)C[C@@H](C)[C@@H](O[C@H]2CC[C@H](N(C)C)[C@H](C)O2)/C=C/C=C/C[C@@H](C)OC(=O)C[C@H]1O,0
845,COc1ccc(-c2cc(=O)c3c(OC)c(OC)c(OC)c(OC)c3o2)cc1,0
808,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,0
451,CCCCC(F)(F)C(=O)CC[C@H]1[C@H](O)CC(=O)[C@H]1CCCCCCC(=O)O,0
490,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@H]2[C@H](O)C[C@@]2(C)[C@H]1CC[C@@]2(O)C(=O)CO,0
1429,C[C@]12CC[C@H]3c4ccc(OC(=O)c5ccccc5)cc4CC[C@H]3[C@@H]1CC[C@H]2O,0
287,C[C@]12CC[C@@H]3[C@@H](CC[C@@]45O[C@@H]4C(O)=C(C#N)C[C@]35C)[C@@H]1CC[C@H]2O,0
1006,N[C@@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O,0
1914,CC(=O)OC1CC2C(C)(C)C(=O)C=CC2(C)C2CCC3(C)C(c4ccoc4)OC(=O)C4OC43C12C,1
1317,CNCCc1ccccn1.Cl.Cl,0
1193,Nc1ccc(C(=O)NCC(=O)O)cc1,0
1242,CO[C@H]1C(=O)[C@@]2(C)[C@H]([C@@H](OC(=O)c3ccccc3)[C@@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@H]2OC,0
743,N#CCNC(=O)c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,0
1644,OC(CC1c2ccccc2-c2cncn21)C1CCCCC1,0
